MaxhinesCount: 24
DimX: 5
DimY: 6
Learning parameters: 
Rounds: 200
Population size: 50
Subpopulation size: 300
Elite size: 0,05
Cross wish: 0,3
Max tournament champions: 3

Best result: 
[[0,22,0,24,20,3],[1,13,9,23,7,0],[15,21,17,5,14,0],[16,12,19,11,2,0],[4,8,10,0,6,18]]

Round Statistics: (csv)
Best,Worst,Average
19131,25470,22605.66
16716,23297,20641.00
16069,21232,18787.78
14586,20635,17565.28
14281,18505,16550.02
13859,18932,16010.64
13034,16978,14843.78
12205,15369,14035.64
11945,15770,13470.92
11445,14669,12772.96
11423,14164,12344.34
10527,13478,11852.58
10527,13097,11481.00
10027,12620,11090.18
10027,11793,10782.82
10027,11585,10622.78
9747,11445,10287.60
9377,10527,10076.30
9377,11477,9928.44
8949,10295,9642.80
8949,10027,9413.62
8739,10822,9324.62
8739,10219,9218.50
8739,9775,9013.64
8739,9580,8919.08
8609,9377,8844.16
8609,9087,8745.26
8609,9267,8723.72
8609,9499,8690.50
8549,10049,8688.32
8319,9389,8610.60
8319,9249,8587.12
8319,9375,8527.24
8319,8772,8416.26
8319,9189,8374.00
8319,8479,8322.20
8319,9174,8339.30
8319,8819,8329.00
8319,8855,8349.72
8319,9199,8352.96
8319,8449,8322.50
8319,9649,8375.40
8319,8684,8326.30
8319,8319,8319.00
8319,9405,8349.92
8319,8819,8329.00
8319,8609,8324.80
8319,8992,8332.46
8319,8984,8335.50
8319,9637,8383.26
8319,9389,8348.00
8259,8889,8349.50
8259,9069,8332.80
8259,9619,8355.20
8259,9405,8340.62
8259,9467,8331.96
8259,8779,8287.50
8259,8619,8271.00
8149,10819,8330.60
8149,9549,8321.40
8149,9343,8275.08
8149,10039,8265.00
8149,8924,8194.70
8149,8649,8161.20
8149,8882,8176.96
8149,8149,8149.00
8149,8439,8159.40
8149,8149,8149.00
8149,8609,8158.20
8149,8309,8152.20
8149,8649,8159.00
8149,8629,8167.30
8149,8149,8149.00
8149,8985,8165.72
8149,8819,8167.60
8149,8149,8149.00
8149,8149,8149.00
8149,8149,8149.00
8149,8559,8159.40
8149,8789,8161.80
8149,9027,8180.06
8149,8559,8157.20
8149,8149,8149.00
8149,8839,8162.80
8149,9509,8228.40
8149,9029,8166.60
8149,8729,8170.60
8149,9989,8185.80
8149,8469,8155.40
8149,8629,8160.80
8149,8149,8149.00
8149,8724,8170.50
8149,8649,8164.86
8149,8594,8157.90
8149,8389,8153.80
8149,8889,8169.30
8149,9565,8177.32
8149,8909,8175.06
8149,8439,8154.80
8149,8529,8159.60
8149,8985,8175.72
8149,8149,8149.00
8149,8449,8155.80
8149,8149,8149.00
8149,8409,8156.80
8149,8149,8149.00
8149,8609,8158.20
8149,8149,8149.00
8149,8469,8160.60
8149,8149,8149.00
8149,9357,8208.92
8149,9062,8167.26
8149,9034,8167.50
8149,8969,8189.60
8149,8529,8162.40
8149,10429,8200.40
8149,9235,8192.50
8149,8149,8149.00
8149,9529,8176.60
8149,9332,8182.66
8149,8685,8159.72
8149,8967,8165.36
8149,8149,8149.00
8149,8149,8149.00
8149,8482,8155.66
8149,8989,8165.80
8149,8149,8149.00
8149,8649,8159.00
8149,8149,8149.00
8149,9343,8191.98
8149,9159,8186.00
8149,9062,8172.46
8149,8409,8159.00
8149,9222,8180.46
8149,8529,8156.60
8149,8149,8149.00
8149,8909,8164.20
8149,8469,8158.60
8149,8279,8151.60
8149,9349,8173.00
8149,8953,8165.08
8149,8934,8174.10
8149,9519,8195.80
8149,8417,8154.36
8149,10199,8201.30
8149,9324,8205.90
8149,8669,8183.40
8149,9159,8184.20
8149,8149,8149.00
8149,8149,8149.00
8149,8944,8177.70
8149,9019,8166.40
8149,8149,8149.00
8149,8967,8176.76
8149,8619,8164.20
8149,8149,8149.00
8149,8279,8151.60
8149,8149,8149.00
8149,8149,8149.00
8149,8149,8149.00
8149,8839,8162.80
8149,8609,8158.20
8149,8149,8149.00
8149,8909,8164.20
8149,8909,8173.40
8149,8949,8190.92
8149,8609,8158.20
8149,9315,8185.12
8149,8619,8158.40
8149,8149,8149.00
8149,10369,8222.72
8149,9235,8185.42
8149,8884,8176.50
8149,9332,8189.26
8149,9778,8181.58
8149,9055,8178.72
8149,8824,8169.90
8149,8789,8161.80
8149,8629,8166.30
8149,8419,8157.00
8149,9725,8183.12
8149,8309,8152.20
8149,9034,8186.62
8149,8149,8149.00
8149,8619,8158.40
8149,9129,8168.60
8149,8985,8165.72
8149,8967,8178.82
8149,8359,8153.20
8149,8779,8165.80
8149,10255,8213.72
8149,8934,8164.70
8149,8149,8149.00
8149,8439,8154.80
8149,8149,8149.00
8149,8685,8159.72
8149,8909,8164.20
8149,9329,8186.08
8149,8149,8149.00
8149,8814,8173.16
