MaxhinesCount: 24
DimX: 5
DimY: 6
Learning parameters: 
Rounds: 200
Population size: 50
Subpopulation size: 300
Elite size: 0,05
Cross wish: 0,3
Max tournament champions: 3

Best result: 
[[20,24,11,19,13,1],[3,23,2,5,21,22],[0,14,18,6,12,0],[4,7,17,10,8,0],[16,0,9,0,0,15]]

Round Statistics: (csv)
Round,Best,Worst,Average
1,18414,26331,22229.32
2,16364,23780,20297.10
3,15914,21538,18584.48
4,15142,20038,17271.52
5,13504,18863,16477.08
6,13864,18009,15544.34
7,13104,16558,14669.98
8,12364,17714,14270.78
9,11894,15704,13625.24
10,11134,15454,13156.70
11,11134,15330,12730.82
12,11014,14190,12286.30
13,11014,13119,11721.20
14,10474,12414,11408.90
15,10309,11989,11073.56
16,10169,11324,10802.00
17,9809,11214,10554.50
18,9809,10984,10419.50
19,9649,11490,10162.12
20,9649,10494,9968.20
21,9174,11449,9768.00
22,9149,10579,9619.96
23,8694,9864,9433.50
24,8694,10064,9261.80
25,8674,9379,9055.50
26,8674,11209,8968.50
27,8649,9504,8770.00
28,8494,9284,8712.60
29,8494,8694,8665.00
30,8434,8979,8662.10
31,8434,9919,8685.70
32,8434,9554,8671.20
33,8434,8674,8586.60
34,8434,9525,8551.52
35,8434,8494,8441.20
36,8434,9514,8460.96
37,8434,8434,8434.00
38,8274,8769,8437.50
39,8174,8434,8412.80
40,8014,8434,8355.60
41,8014,8434,8233.20
42,8014,9074,8206.08
43,8014,8509,8083.30
44,8014,8424,8037.40
45,8014,8174,8017.20
46,8014,9344,8046.40
47,8014,8412,8027.76
48,8014,8304,8019.80
49,8014,8014,8014.00
50,8014,8557,8035.56
51,7864,8014,8011.00
52,7864,9344,8059.50
53,7864,8014,8008.00
54,7864,8804,8017.80
55,7864,8014,7984.00
56,7864,8154,7951.00
57,7864,8334,7912.60
58,7864,8014,7873.00
59,7864,7864,7864.00
60,7864,8804,7882.80
61,7864,8262,7871.96
62,7864,7864,7864.00
63,7864,8154,7869.80
64,7864,8404,7880.60
65,7864,8399,7880.70
66,7864,8344,7873.60
67,7864,7864,7864.00
68,7864,8184,7870.80
69,7864,10434,7925.00
70,7864,7929,7865.30
71,7864,8344,7873.60
72,7864,7864,7864.00
73,7864,7864,7864.00
74,7864,7984,7866.40
75,7864,8504,7888.10
76,7864,8504,7879.20
77,7864,7864,7864.00
78,7864,8024,7867.20
79,7864,8404,7877.40
80,7864,8279,7872.30
81,7864,8937,7885.46
82,7864,7864,7864.00
83,7864,8339,7884.10
84,7864,8394,7881.00
85,7864,8394,7874.60
86,7864,8164,7870.00
87,7864,7864,7864.00
88,7864,9194,7890.60
89,7864,8604,7890.80
90,7864,7864,7864.00
91,7864,7864,7864.00
92,7864,8744,7881.60
93,7864,7864,7864.00
94,7864,7864,7864.00
95,7864,8407,7874.86
96,7864,7864,7864.00
97,7864,7864,7864.00
98,7864,9364,7894.00
99,7864,8668,7880.08
100,7864,8749,7881.70
101,7864,9174,7890.20
102,7864,8969,7907.70
103,7864,7864,7864.00
104,7864,7864,7864.00
105,7864,7864,7864.00
106,7864,8154,7869.80
107,7864,7864,7864.00
108,7864,8529,7888.16
109,7864,7864,7864.00
110,7864,8494,7876.60
111,7864,8494,7887.80
112,7864,9474,7896.20
113,7864,9577,7924.86
114,7864,8799,7882.70
115,7864,8709,7891.30
116,7864,8660,7899.92
117,7864,9859,7953.20
118,7864,9524,7923.80
119,7864,8514,7877.00
120,7864,8824,7883.20
121,7864,8944,7888.20
122,7864,8244,7874.20
123,7864,7864,7864.00
124,7864,10334,8047.90
125,7864,8840,7883.52
126,7864,7984,7866.40
127,7864,8154,7869.80
128,7864,9486,7930.70
129,7864,8384,7887.36
130,7864,8799,7909.66
131,7864,8757,7881.86
132,7864,9194,7901.40
133,7864,8859,7914.20
134,7864,9234,7892.70
135,7864,9274,7915.96
136,7864,9194,7907.80
137,7864,8124,7869.20
138,7864,8359,7873.90
139,7864,8184,7870.40
140,7864,8504,7876.80
141,7864,7864,7864.00
142,7864,9424,7895.20
143,7864,9939,7905.50
144,7864,8504,7876.80
145,7864,7864,7864.00
146,7864,9194,7890.60
147,7864,8262,7871.96
148,7864,7864,7864.00
149,7864,8799,7893.56
150,7864,7864,7864.00
151,7864,9384,7941.50
152,7864,7864,7864.00
153,7864,8244,7871.60
154,7864,9464,7908.70
155,7864,8499,7892.06
156,7864,8464,7893.70
157,7864,8014,7867.00
158,7864,7864,7864.00
159,7864,7864,7864.00
160,7864,8124,7869.20
161,7864,8819,7889.50
162,7864,7864,7864.00
163,7864,8904,7887.40
164,7864,9424,7915.30
165,7864,10124,7926.30
166,7864,7864,7864.00
167,7864,8184,7870.40
168,7864,8399,7883.90
169,7864,8904,7902.20
170,7864,8279,7884.80
171,7864,8744,7914.22
172,7864,8804,7882.80
173,7864,8074,7868.20
174,7864,7864,7864.00
175,7864,8744,7881.60
176,7864,8494,7890.70
177,7864,8954,7917.82
178,7864,7864,7864.00
179,7864,7864,7864.00
180,7864,9878,7927.58
181,7864,8344,7881.90
182,7864,8279,7875.30
183,7864,8399,7884.60
184,7864,8299,7872.70
185,7864,8504,7876.80
186,7864,7864,7864.00
187,7864,7864,7864.00
188,7864,8132,7869.36
189,7864,9032,7887.36
190,7864,8359,7879.26
191,7864,9834,7936.72
192,7864,8304,7876.40
193,7864,7864,7864.00
194,7864,8400,7888.22
195,7864,10064,7916.30
196,7864,8840,7900.12
197,7864,8804,7925.50
198,7864,8384,7874.40
199,7864,9109,7915.40
200,7864,9384,7902.36
