MaxhinesCount: 24
DimX: 5
DimY: 6
Learning parameters: 
Rounds: 200
Population size: 50
Subpopulation size: 300
Elite size: 0,05
Cross wish: 0,3
Max tournament champions: 3

Best result: 
[[17,10,18,6,0,0],[9,8,12,0,16,4],[15,7,0,5,1,2],[0,23,14,21,13,11],[0,24,20,3,22,19]]

Round Statistics: (csv)
Best,Worst,Average
17483,27172,22116.72
16753,23061,19703.68
15263,20762,17828.08
14699,18572,16852.52
14448,19097,16322.62
12539,17271,15495.00
12109,16561,14731.76
11984,16110,13971.76
11314,15009,13140.52
11314,15089,12505.48
10349,13337,11939.24
10174,12324,11567.18
9914,12925,11238.04
9964,11964,10830.12
9679,11582,10491.98
9679,11245,10227.00
9679,10794,10031.12
9664,10835,9859.74
9404,10214,9730.26
9289,10517,9690.52
9149,10004,9541.78
9149,10004,9411.54
8889,9802,9278.60
8884,9939,9192.56
8874,10664,9136.76
8764,10539,9091.62
8614,10719,9031.38
8614,9769,8894.70
8614,9634,8813.80
8614,8889,8681.50
8549,8874,8623.80
8499,8614,8609.10
8499,8984,8610.90
8434,8874,8581.60
8434,8614,8540.30
8434,9274,8517.60
8434,9794,8519.80
8434,9238,8492.46
8434,8734,8442.60
8434,9259,8466.58
8434,8434,8434.00
8434,10270,8470.72
8434,9567,8467.38
8434,8579,8436.90
8434,8439,8434.10
8434,9317,8451.66
8434,10360,8503.92
8434,9238,8463.58
8434,9104,8455.00
8434,8749,8440.30
8434,8804,8451.30
8434,8499,8435.30
8434,9900,8463.32
8434,8977,8444.86
8434,8434,8434.00
8434,9264,8450.60
8434,8434,8434.00
8434,9900,8502.32
8434,9099,8447.30
8434,8984,8445.00
8434,8434,8434.00
8434,8434,8434.00
8434,8434,8434.00
8434,8434,8434.00
8434,8579,8436.90
8434,9764,8469.80
8434,8734,8445.50
8434,9534,8456.00
8434,9942,8467.06
8434,9167,8448.66
8434,8434,8434.00
8434,10344,8510.40
8434,8579,8436.90
8434,8694,8439.20
8434,8434,8434.00
8434,9744,8495.16
8434,8984,8445.00
8434,8970,8444.72
8434,8702,8439.36
8434,8579,8436.90
8434,10490,8475.12
8434,8434,8434.00
8434,8579,8436.90
8434,8914,8443.60
8434,8434,8434.00
8434,8584,8437.00
8434,9314,8454.50
8434,9812,8480.24
8434,9506,8465.04
8434,9544,8465.40
8434,9099,8484.52
8434,9454,8460.20
8434,9744,8486.06
8434,8970,8458.18
8434,8754,8440.40
8434,8434,8434.00
8434,10305,8493.44
8434,9079,8455.30
8434,8709,8444.70
8434,9474,8477.80
8434,8579,8436.90
8434,8694,8443.40
8434,9787,8480.26
8434,9064,8446.60
8434,8434,8434.00
8434,9544,8464.60
8434,8579,8436.90
8434,8914,8450.00
8434,9764,8482.04
8434,9954,8465.70
8434,9137,8453.26
8434,10427,8488.86
8434,9314,8483.10
8434,8434,8434.00
8434,8434,8434.00
8434,9924,8510.58
8434,10660,8508.32
8434,9506,8455.44
8434,8434,8434.00
8434,8754,8440.40
8434,9109,8447.50
8434,9434,8456.30
8434,8434,8434.00
8434,9427,8458.46
8434,8702,8441.66
8434,10089,8502.20
8434,9059,8446.50
8434,8434,8434.00
8434,8694,8444.40
8434,8754,8445.60
8434,9744,8499.36
8434,10160,8472.72
8434,8434,8434.00
8434,10270,8497.82
8434,9238,8459.58
8434,8970,8447.32
8434,9474,8476.72
8434,9309,8460.40
8434,10721,8515.56
8434,8434,8434.00
8434,8734,8440.00
8434,10539,8476.10
8434,10730,8488.82
8434,8702,8440.66
8434,8434,8434.00
8434,10204,8469.40
8434,8434,8434.00
8434,11514,8495.60
8434,9260,8458.12
8434,8814,8452.40
8434,8439,8434.10
8434,8434,8434.00
8434,8434,8434.00
8434,8434,8434.00
8434,9924,8474.80
8434,9924,8484.26
8434,9084,8452.80
8434,8434,8434.00
8434,9092,8447.16
8434,8754,8442.70
8434,8434,8434.00
8434,9114,8447.60
8434,9238,8460.64
8434,8984,8454.60
8434,9474,8462.90
8434,9194,8457.90
8434,9867,8528.66
8434,10924,8509.60
8434,9059,8451.70
8434,9099,8462.00
8434,10560,8508.62
8434,9129,8458.90
8434,10617,8507.34
8434,9039,8451.30
8434,8579,8439.80
8434,10160,8485.22
8434,8694,8441.80
8434,9454,8478.26
8434,10033,8468.58
8434,9877,8477.66
8434,9099,8447.40
8434,8434,8434.00
8434,9269,8461.10
8434,9054,8446.40
8434,9194,8449.20
8369,8970,8450.82
8369,8804,8438.80
8369,8434,8417.10
8369,10072,8438.96
8369,10072,8441.26
8369,8694,8379.00
8369,8369,8369.00
8369,8369,8369.00
8369,8999,8395.50
8369,8959,8380.80
8369,8912,8384.76
8369,11063,8448.40
8369,8744,8380.00
8369,8369,8369.00
8369,9027,8382.16
