MaxhinesCount: 10
DimX: 4
DimY: 3
Learning parameters: 
Rounds: 200
Population size: 50
Subpopulation size: 300
Elite size: 0,05
Cross wish: 0,3
Max tournament champions: 3

Best result: 
[[3,2,1],[7,5,0],[0,4,6],[9,10,8]]

Round Statistics: (csv)
Round,Best,Worst,Average
1,275,565,393.90
2,275,535,330.50
3,275,405,288.00
4,275,535,282.80
5,275,405,280.20
6,275,405,277.60
7,275,420,283.10
8,275,275,275.00
9,275,405,277.60
10,275,275,275.00
11,275,275,275.00
12,275,275,275.00
13,275,275,275.00
14,275,275,275.00
15,275,275,275.00
16,275,275,275.00
17,275,275,275.00
18,275,275,275.00
19,275,275,275.00
20,275,275,275.00
21,275,405,277.60
22,275,275,275.00
23,275,275,275.00
24,275,275,275.00
25,275,275,275.00
26,275,275,275.00
27,275,275,275.00
28,275,275,275.00
29,275,275,275.00
30,275,275,275.00
31,275,275,275.00
32,275,275,275.00
33,275,275,275.00
34,275,275,275.00
35,275,275,275.00
36,275,275,275.00
37,275,275,275.00
38,275,275,275.00
39,275,275,275.00
40,275,275,275.00
41,275,275,275.00
42,275,275,275.00
43,275,275,275.00
44,275,275,275.00
45,275,275,275.00
46,275,275,275.00
47,275,275,275.00
48,275,275,275.00
49,275,275,275.00
50,275,275,275.00
51,275,275,275.00
52,275,275,275.00
53,275,275,275.00
54,275,275,275.00
55,275,275,275.00
56,275,275,275.00
57,275,275,275.00
58,275,275,275.00
59,275,275,275.00
60,275,275,275.00
61,275,275,275.00
62,275,275,275.00
63,275,275,275.00
64,275,275,275.00
65,275,275,275.00
66,275,275,275.00
67,275,275,275.00
68,275,275,275.00
69,275,275,275.00
70,275,275,275.00
71,275,275,275.00
72,275,275,275.00
73,275,275,275.00
74,275,275,275.00
75,275,275,275.00
76,275,275,275.00
77,275,275,275.00
78,275,275,275.00
79,275,275,275.00
80,275,275,275.00
81,275,275,275.00
82,275,275,275.00
83,275,275,275.00
84,275,275,275.00
85,275,275,275.00
86,275,275,275.00
87,275,275,275.00
88,275,275,275.00
89,275,275,275.00
90,275,275,275.00
91,275,275,275.00
92,275,275,275.00
93,275,275,275.00
94,275,275,275.00
95,275,275,275.00
96,275,275,275.00
97,275,275,275.00
98,275,275,275.00
99,275,275,275.00
100,275,275,275.00
101,275,275,275.00
102,275,275,275.00
103,275,275,275.00
104,275,275,275.00
105,275,275,275.00
106,275,275,275.00
107,275,275,275.00
108,275,275,275.00
109,275,275,275.00
110,275,275,275.00
111,275,275,275.00
112,275,275,275.00
113,275,275,275.00
114,275,275,275.00
115,275,275,275.00
116,275,275,275.00
117,275,275,275.00
118,275,275,275.00
119,275,275,275.00
120,275,275,275.00
121,275,275,275.00
122,275,275,275.00
123,275,275,275.00
124,275,275,275.00
125,275,275,275.00
126,275,275,275.00
127,275,275,275.00
128,275,275,275.00
129,275,275,275.00
130,275,275,275.00
131,275,275,275.00
132,275,275,275.00
133,275,275,275.00
134,275,275,275.00
135,275,275,275.00
136,275,275,275.00
137,275,275,275.00
138,275,275,275.00
139,275,275,275.00
140,275,275,275.00
141,275,275,275.00
142,275,275,275.00
143,275,275,275.00
144,275,275,275.00
145,275,275,275.00
146,275,275,275.00
147,275,275,275.00
148,275,275,275.00
149,275,275,275.00
150,275,275,275.00
151,275,275,275.00
152,275,275,275.00
153,275,275,275.00
154,275,275,275.00
155,275,275,275.00
156,275,275,275.00
157,275,275,275.00
158,275,275,275.00
159,275,275,275.00
160,275,275,275.00
161,275,275,275.00
162,275,275,275.00
163,275,275,275.00
164,275,275,275.00
165,275,275,275.00
166,275,275,275.00
167,275,275,275.00
168,275,275,275.00
169,275,275,275.00
170,275,275,275.00
171,275,275,275.00
172,275,275,275.00
173,275,275,275.00
174,275,275,275.00
175,275,275,275.00
176,275,275,275.00
177,275,275,275.00
178,275,275,275.00
179,275,275,275.00
180,275,275,275.00
181,275,275,275.00
182,275,275,275.00
183,275,275,275.00
184,275,275,275.00
185,275,275,275.00
186,275,275,275.00
187,275,275,275.00
188,275,275,275.00
189,275,275,275.00
190,275,275,275.00
191,275,275,275.00
192,275,275,275.00
193,275,275,275.00
194,275,275,275.00
195,275,275,275.00
196,275,275,275.00
197,275,275,275.00
198,275,275,275.00
199,275,275,275.00
200,275,275,275.00
